geoid,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,NA
29001,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,4,4,4,4,4,4,4,5,6,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,10,12,12,12,14,15,15,15,15,15,15,15,15,15
29003,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,5,6,6,6,6,8,9,9,9,9,9,9,10,10,12,13,13,14,14,14,15,16,16,16,16,16,16,16
29005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29007,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,5,7,8,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,15,15,16,16,16,17,18,21,24,27,28,30,31,39,41,48,50,52,52,55,57,62,65,66,67,69,71,74,78,78,79,94,101,109,125,136,146,150,157,159,163,163
29009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,4,4,4,4,4,4,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,10,10,11,11,11,11,11,11,11,13,13,13,14,14,14,14,15,16,19,19,19,19,19,21,21,21,24,29,32,35,35,36,36,36,39,41,44,46,48,50,51,52,57,59,60,61,61,61,61,61,61
29011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,7,7,7,7,7,7,7,7,7,7
29013,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,8,8,9,9,9,10,10,10,10,11,11,11,11,11,11,12,13,13,13,13,13,13
29015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,4,4,4,5,6,6,6,6,6,6,6,6,6,8,9,10,10,10,10,10,11,11,12,12,12,14,14,17,17,17,17,17,18,19,19,19,19,19,19,21,21,21,21
29017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,5,7,9,9,10,10,13,15,15,15,15,15
29019,0,0,1,1,2,3,5,6,9,11,16,17,18,21,22,23,24,25,25,25,25,25,27,27,28,28,29,29,30,30,30,33,33,37,40,43,43,44,51,55,57,61,62,73,76,79,81,84,87,91,94,100,108,112,114,118,122,130,135,138,143,145,145,146,147,149,151,153,154,155,156,156,158,162,169,173,179,183,189,194,201,205,209,216,220,220,221,222,224,226,229,230,232,237,239,239,239
29021,0,0,1,2,2,4,4,4,4,5,5,6,6,6,7,8,9,9,9,10,10,11,11,11,11,12,14,16,17,20,22,25,29,29,32,34,36,37,38,39,40,41,41,45,46,48,51,53,54,56,59,63,67,70,73,74,75,77,83,86,90,93,96,97,101,105,107,110,112,118,123,128,135,140,157,163,173,183,192,201,213,222,230,241,251,261,279,294,306,323,336,344,353,362,368,373,373
29023,1,2,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,8,8,8,8,8,9,9,10,10,11,11,11,11,11,11,14,15,20,21,25,27,27,29,33,34,36,37,40,41,47,48,53,54,56,63,71,89,95,106,116,123,132,147,156,168,174,180,186,192,203,212,220,228,238,248,251,257,263,263
29025,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,5,6,6,7,7,7,7,7,7,8,8,8,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11
29027,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,5,7,8,8,10,12,12,14,14,15,16,16,18,19,21,21,23,23,24,26,28,28,30,30,30,31,31,32,35,36,36,38,39,41,43,47,48,49,52,53,60,66,70,70,72,73,74,77,81,82,83,86,100,103,104,108,111,112,113,116,117,120,123,128,132,132
29029,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6,7,7,7,7,7,7,7,7,8,8,8,8,9,10,10,10,12,12,12,13,13,13,13,14,14,14,14,14,14,14,15,15,17,17,17,18,18,19,19,19,19,19,21,21,22,22,24,25,26,26,26,26
29031,0,1,1,1,1,2,2,2,2,2,2,2,2,4,4,5,5,7,7,7,7,8,9,10,11,11,13,15,17,17,17,18,20,22,23,23,26,26,27,29,32,34,34,36,37,39,40,40,42,43,43,44,47,48,48,49,50,52,53,57,58,58,60,60,61,61,61,63,65,65,65,67,69,70,72,75,78,79,79,81,87,90,92,99,105,111,120,128,134,138,144,150,156,164,173,173,173
29033,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7
29035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,6,7,8,9,10,12,13,14,14,14,14,14,14,14,14,16,17,17
29037,0,1,1,2,2,2,2,2,2,2,2,3,3,4,5,6,6,7,7,8,8,9,10,10,12,12,14,15,15,18,18,19,21,22,22,23,24,25,27,28,28,29,29,29,31,31,31,36,39,40,44,46,49,50,50,52,55,58,61,63,64,65,67,67,68,69,75,75,76,76,77,78,79,80,83,85,88,91,91,93,100,105,105,109,111,114,114,116,118,121,123,123,125,125,125,125,125
