date,value
2015-01-01,56
2015-02-01,132
2015-03-01,196
2015-04-01,273
2015-05-01,330
2015-06-01,403
2015-07-01,454
2015-08-01,508
2015-09-01,567
2015-10-01,623
2015-11-01,695
2015-12-01,776
2016-01-01,872
2016-02-01,946
2016-03-01,1037
2016-04-01,1104
2016-05-01,1181
2016-06-01,1306
2016-07-01,1363
2016-08-01,1438
2016-09-01,1502
2016-10-01,1576
2016-11-01,1657
2016-12-01,1733
2017-01-01,1801
2017-02-01,1876
2017-03-01,1995
2017-04-01,2103
2017-05-01,2235
2017-06-01,2349
2017-07-01,2439
2017-08-01,2598
2017-09-01,2702
2017-10-01,2825
2017-11-01,2964
2017-12-01,3073
2018-01-01,3235
2018-02-01,3354
2018-03-01,3504
2018-04-01,3655
2018-05-01,3810
2018-06-01,3977
2018-07-01,4103
2018-08-01,4317
2018-09-01,4489
2018-10-01,4707
2018-11-01,4852
2018-12-01,4987
2019-01-01,5214
2019-02-01,5393
2019-03-01,5554
2019-04-01,5706
2019-05-01,5901
2019-06-01,6093
2019-07-01,6286
2019-08-01,6437
2019-09-01,6602
2019-10-01,6844
2019-11-01,7021
2019-12-01,7179
2020-01-01,7416
2020-02-01,7603
2020-03-01,7765
2020-04-01,7883
2020-05-01,8012
2020-06-01,8160
2020-07-01,8308
2020-08-01,8446
2020-09-01,8598
2020-10-01,8720
2020-11-01,8834
2020-12-01,9008
2021-01-01,9258
2021-02-01,9484
2021-03-01,9837
2021-04-01,10127
2021-05-01,10459
2021-06-01,10801
2021-07-01,11038
2021-08-01,11312
2021-09-01,11702
2021-10-01,11968
2021-11-01,12213
2021-12-01,12519
2022-01-01,12805
2022-02-01,13076
2022-03-01,13463
2022-04-01,13804
2022-05-01,14109
2022-06-01,14499
2022-07-01,14772
2022-08-01,15128
2022-09-01,15392
2022-10-01,15677
2022-11-01,15939
2022-12-01,16099
