date,value
2015-01-01,56
2015-02-01,76
2015-03-01,64
2015-04-01,77
2015-05-01,57
2015-06-01,73
2015-07-01,51
2015-08-01,54
2015-09-01,59
2015-10-01,56
2015-11-01,72
2015-12-01,81
2016-01-01,96
2016-02-01,74
2016-03-01,91
2016-04-01,67
2016-05-01,77
2016-06-01,125
2016-07-01,57
2016-08-01,75
2016-09-01,64
2016-10-01,74
2016-11-01,81
2016-12-01,76
2017-01-01,68
2017-02-01,75
2017-03-01,119
2017-04-01,108
2017-05-01,132
2017-06-01,114
2017-07-01,90
2017-08-01,159
2017-09-01,104
2017-10-01,123
2017-11-01,139
2017-12-01,109
2018-01-01,162
2018-02-01,119
2018-03-01,150
2018-04-01,151
2018-05-01,155
2018-06-01,167
2018-07-01,126
2018-08-01,214
2018-09-01,172
2018-10-01,218
2018-11-01,145
2018-12-01,135
2019-01-01,227
2019-02-01,179
2019-03-01,161
2019-04-01,152
2019-05-01,195
2019-06-01,192
2019-07-01,193
2019-08-01,151
2019-09-01,165
2019-10-01,242
2019-11-01,177
2019-12-01,158
2020-01-01,237
2020-02-01,187
2020-03-01,162
2020-04-01,118
2020-05-01,129
2020-06-01,148
2020-07-01,148
2020-08-01,138
2020-09-01,152
2020-10-01,122
2020-11-01,114
2020-12-01,174
2021-01-01,250
2021-02-01,226
2021-03-01,353
2021-04-01,290
2021-05-01,332
2021-06-01,342
2021-07-01,237
2021-08-01,274
2021-09-01,390
2021-10-01,266
2021-11-01,245
2021-12-01,306
2022-01-01,286
2022-02-01,271
2022-03-01,387
2022-04-01,341
2022-05-01,305
2022-06-01,390
2022-07-01,273
2022-08-01,356
2022-09-01,264
2022-10-01,285
2022-11-01,262
2022-12-01,160
